i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033
58,S0,89,5,37,bonus_bs15_gae3_no,5375,58,92.7,73.5,53.75,-4.25,-425.0,1112.0,70,139,230,261,92.7,133.5,232.9,-3.7,-44.5,-141,-172,-143.9
59,S0,184,89,37,bonus_bs15_gae3_no,5464,59,92.6,74,54.64,-4.36,-436.0,1098.0,94,159,206,241,92.6,105.8,236.5,91.4,78.2,-22,-57,-52.5
60,S0,114,184,37,bonus_bs15_gae3_no,5648,60,94.1,77.0,56.48,-3.52,-352.0,1028.0,273,278,27,122,94.1,74.6,210.3,19.9,39.4,87,-8,-96.3
61,S0,37,114,37,bonus_bs15_gae3_no,5762,61,94.5,80,57.62,-3.38,-338.0,882.0,298,387,2,13,94.5,97.6,206.0,-57.5,-60.6,35,24,-169.0
62,S0,113,37,37,bonus_bs15_gae3_no,5799,62,93.5,77.0,57.99,-4.01,-401.0,1025.0,151,335,149,65,93.5,122.9,225.9,19.5,-9.9,-36,48,-112.9
63,S0,227,113,37,bonus_bs15_gae3_no,5912,63,93.8,80,59.12,-3.88,-388.0,872.0,150,264,150,136,93.8,97.9,221.9,133.2,129.1,77,91,5.1
64,S0,101,227,37,bonus_bs15_gae3_no,6139,64,95.9,81.0,61.39,-2.61,-261.0,955.0,340,377,-40,23,95.9,60.4,182.1,5.1,40.6,141,78,-81.1
65,S0,233,101,37,bonus_bs15_gae3_no,6240,65,96.0,82,62.4,-2.6,-260.0,910.0,328,441,-28,-41,96.0,101.9,181.8,137.0,131.1,261,274,51.2
66,S0,49,233,37,bonus_bs15_gae3_no,6473,66,98.1,84.5,64.73,-1.27,-127.0,896.0,334,561,-34,-161,98.1,58.4,140.0,-49.1,-9.4,83,210,-91.0
67,S0,136,49,37,bonus_bs15_gae3_no,6522,67,97.3,82,65.22,-1.78,-178.0,1028.0,282,383,18,17,97.3,119.0,156.1,38.7,17.0,118,119,-20.1
68,S0,150,136,37,bonus_bs15_gae3_no,6658,68,97.9,84.5,66.58,-1.42,-142.0,912.0,185,418,115,-18,97.9,90.4,144.8,52.1,59.6,35,168,5.2
69,S0,163,150,41,,6808,69,98.7,87,68.08,-0.92,-92.0,805.0,286,335,14,65,98.7,85.8,129.0,64.3,77.2,149,98,34.0
70,S0,28,163,42,,6971,70,99.6,88.0,69.71,-0.29,-29.0,811.0,313,449,-13,-49,99.6,81.5,109.2,-71.6,-53.5,41,77,-81.2
71,S0,163,28,42,,6999,71,98.6,87,69.99,-1.01,-101.0,822.0,191,341,109,59,98.6,125.9,131.9,64.4,37.1,54,104,31.1
