  row   spin#  idx(r1,r2,r3)  reel1 reel2 reel3  tri  flags
  208   65517        (5,8,8)  goldS goldS goldS   3x  (triple: goldSack)
  209   65520        (0,8,8)   coin  coin steal       
  210   65521        (4,4,4)  accum accum attac       
  211   65522        (5,8,8)  steal steal steal   3x  (triple: steal)
  212   65523        (7,7,8)  accum accum  coin       
  213   65525        (0,0,0)   coin  coin  coin   3x  (triple: coin)
  214   65527        (7,6,0)  attac spins goldS       
  215   65528        (3,6,4)  attac spins goldS       
  216   65529        (0,0,0)  steal spins goldS       
  217   65532        (3,7,8)   coin  coin steal       
  218   65533        (6,6,1)  accum goldS goldS       
  219   65534        (3,7,8)   coin spins spins       
  220   65536        (4,4,1)  attac  coin shiel       
  221   65538        (7,7,2)  attac attac  coin       
  222   65539        (6,6,6)  shiel goldS goldS       >>> MAX BET (6,6,6) <<<
  223   65541        (0,0,0)  goldS goldS goldS   3x  <-- NEXT SPIN AFTER SIGNAL  (triple: goldSack)
  224   65545        (3,3,8)  attac attac goldS       
  225   65546        (2,1,0)  accum goldS goldS       
  226   65547        (8,8,8)  attac  coin shiel       >>> MAX BET (8,8,8) <<<
  227   65549        (3,7,8)   coin  coin steal       <-- NEXT SPIN AFTER SIGNAL
  228   65550        (4,1,5)  accum goldS goldS       
  229   65551        (0,0,0)   coin  coin steal       
  230   65552        (2,5,0)  attac attac attac   3x  (triple: attack)
  231   65555        (3,4,4)   coin  coin  coin   3x  (triple: coin)
  232   65556        (3,3,8)  steal steal goldS       
  233   65557        (2,5,0)  accum goldS goldS       
  234   65558        (7,4,4)  attac  coin shiel       
  235   65559        (7,3,8)  steal steal goldS       
  236   65561        (2,2,2)  attac spins goldS       
  237   65562        (2,2,2)  shiel shiel shiel   3x  (triple: shield)
  238   65563        (4,5,1)  shiel shiel shiel   3x  (triple: shield)
  239   65565        (7,7,8)  spins spins goldS       
  240   65567        (7,6,6)  attac  coin shiel       
  241   65569        (3,3,8)   coin  coin  coin   3x  (triple: coin)
  242   65571        (2,5,0)   coin steal spins       
  243   65572        (7,7,8)  attac  coin shiel       
  244   65573        (3,8,8)  accum goldS goldS       
  245   65574        (2,1,0)  accum accum goldS       
  246   65575        (3,8,8)  attac  coin shiel       
  247   65576        (7,7,7)  accum accum goldS       
  248   65577        (3,6,0)  goldS goldS goldS   3x  (triple: goldSack)
  249   65579        (7,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  250   65580        (7,6,0)  accum goldS goldS       
  251   65581        (0,0,0)  attac spins goldS       
  252   65582        (3,7,8)  attac attac attac   3x  (triple: attack)
  253   65583        (3,8,8)  accum goldS goldS       
  254   65584        (2,2,2)  accum accum goldS       
  255   65585        (4,4,4)  shiel shiel shiel   3x  (triple: shield)
  256   65586        (0,0,0)  steal steal steal   3x  (triple: steal)
  257   65588        (4,5,5)   coin steal spins       
  258   65590        (2,2,2)  goldS goldS goldS   3x  (triple: goldSack)
  259   65591        (7,7,8)  shiel shiel shiel   3x  (triple: shield)
  260   65592        (6,5,0)  accum goldS goldS       
  261   65593        (6,4,1)  attac  coin spins       
  262   65595        (7,8,8)   coin steal spins       
  263   65597        (7,3,8)  goldS goldS goldS   3x  (triple: goldSack)
  264   65600        (3,8,8)   coin  coin  coin   3x  (triple: coin)
  265   65602        (3,4,4)   coin steal spins       
  266   65604        (4,1,1)  goldS goldS goldS   3x  (triple: goldSack)
  267   65605        (7,7,7)   coin  coin steal       
  268   65606        (6,4,1)  goldS goldS goldS   3x  (triple: goldSack)
  269   65607        (6,1,0)   coin steal spins       
  270   65608        (4,4,4)  attac  coin spins       
  271   65610        (4,5,5)  attac attac goldS       
  272   65611        (0,8,8)   coin  coin steal       
  273   65613        (7,0,0)   coin  coin steal       
  274   65615        (7,3,8)  attac spins goldS       
  275   65616        (4,4,4)  accum goldS goldS       
  276   65617        (0,0,0)  steal steal steal   3x  (triple: steal)
  277   65618        (3,3,8)  attac attac attac   3x  (triple: attack)
  278   65619        (2,5,0)  accum goldS goldS       
  279   65620        (3,7,8)  attac  coin shiel       
  280   65623        (4,1,1)   coin  coin  coin   3x  (triple: coin)
  281   65625        (1,5,1)   coin  coin steal       
  282   65627        (0,0,0)  spins spins goldS       
  283   65630        (2,1,0)  attac attac goldS       
  284   65631        (0,0,0)  attac  coin shiel       
  285   65634        (1,1,1)   coin  coin steal       
  286   65635        (7,7,8)   coin  coin  coin   3x  (triple: coin)
  287   65637        (3,0,0)  attac  coin spins       
  288   65638        (7,3,8)  attac attac goldS       
  289   65640        (2,1,0)   coin shiel shiel       
  290   65641        (3,3,7)  attac  coin shiel       
  291   65642        (4,4,4)  goldS goldS goldS   3x  (triple: goldSack)
  292   65643        (1,1,5)  steal steal steal   3x  (triple: steal)
  293   65644        (7,6,0)   coin  coin  coin   3x  (triple: coin)
  294   65645        (0,0,0)  attac spins goldS       
  295   65647        (6,6,5)   coin steal spins       
  296   65648        (6,4,5)   coin spins spins       
  297   65649        (4,4,1)   coin steal spins       
  298   65651        (5,1,1)   coin  coin steal       
  299   65652        (7,7,8)   coin  coin  coin   3x  (triple: coin)
  300   65653        (5,8,8)  accum goldS goldS       
  301   65654        (7,4,0)  accum accum  coin       
  302   65655        (4,5,5)  attac steal goldS       
  303   65656        (3,7,8)   coin  coin steal       
  304   65657        (3,7,8)  accum goldS goldS       
  305   65659        (0,0,0)  attac spins goldS       
  306   65662        (1,8,8)   coin spins spins       
  307   65663        (2,2,2)  accum accum  coin       
  308   65664        (2,2,2)  shiel shiel shiel   3x  (triple: shield)
  309   65666        (2,2,2)  attac  coin shiel       
  310   65667        (0,0,0)  shiel shiel shiel   3x  (triple: shield)
  311   65668        (3,7,3)  attac attac attac   3x  (triple: attack)
  312   65670        (4,1,1)  attac  coin shiel       
  313   65671        (0,8,8)   coin  coin steal       
  314   65674        (4,4,5)  attac steal goldS       
  315   65675        (0,0,0)   coin steal steal       
  316   65680        (3,7,8)  attac spins goldS       
  317   65681        (4,5,1)  accum goldS goldS       
  318   65682        (0,0,0)   coin  coin steal       
  319   65684        (3,6,0)  attac spins goldS       
  320   65685        (5,8,8)  attac spins goldS       
  321   65688        (6,6,6)  attac attac goldS       >>> MAX BET (6,6,6) <<<
                                                      --- gap 6: 123 spins ---
  322   65689        (3,3,8)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#6 SPN** (gap=123)
  323   65690        (3,3,8)  accum goldS goldS       
  324   65691        (4,4,4)  accum goldS goldS       
  325   65692        (3,3,8)  steal steal steal   3x  (triple: steal)
  326   65693        (7,6,0)  accum goldS goldS       
  327   65694        (1,5,5)  attac spins goldS       
  328   65695        (3,4,0)   coin  coin  coin   3x  (triple: coin)
  329   65696        (4,1,5)  attac steal goldS       
  330   65697        (4,4,4)   coin  coin steal       
  331   65698        (2,2,2)  steal steal steal   3x  (triple: steal)
  332   65699        (7,7,8)  shiel shiel shiel   3x  (triple: shield)
  333   65701        (3,0,0)   coin spins spins       
  334   65703        (1,1,1)   coin steal spins       
