sn,csv_seq,r1_idx,r2_idx,r3_idx,s1,s2,s3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,is_valuable,se_hash,bet_state
65521,65522,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65522,65523,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65523,65524,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65525,65526,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65527,65528,7,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65528,65529,3,6,4,4,6,2,steal,spins,goldSack,gold,1,False,False,9b0002fd,3
65529,65530,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65532,65533,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65533,65534,6,6,1,1,6,6,coin,spins,spins,gold,1,False,False,9b0002fd,3
65534,65535,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65536,65537,4,4,1,1,4,4,coin,steal,steal,gold,1,False,False,9b0002fd,3
65538,65539,7,7,2,5,2,2,shield,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65539,65540,6,6,6,6,6,6,spins,spins,spins,spins,5,True,True,9b0002fd,3
65541,65542,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65545,65546,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65546,65547,2,1,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65547,65548,8,8,8,30,30,30,accumulation,accumulation,accumulation,gold,10,True,False,9b0002fd,3
65549,65550,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65550,65551,4,1,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65551,65552,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65552,65553,2,5,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65555,65556,3,4,4,4,4,2,steal,steal,goldSack,gold,1,False,False,9b0002fd,3
65556,65557,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65557,65558,2,5,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65558,65559,7,4,4,4,4,2,steal,steal,goldSack,gold,1,False,False,9b0002fd,3
65559,65560,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65561,65562,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65562,65563,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65563,65564,4,5,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65565,65566,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65567,65568,7,6,6,6,6,2,spins,spins,goldSack,gold,1,False,False,9b0002fd,3
65569,65570,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65571,65572,2,5,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65572,65573,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65573,65574,3,8,8,30,30,2,accumulation,accumulation,goldSack,gold,1,False,False,9b0002fd,3
65574,65575,2,1,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65575,65576,3,8,8,30,30,2,accumulation,accumulation,goldSack,gold,1,False,False,9b0002fd,3
65576,65577,7,7,7,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65577,65578,3,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65579,65580,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65580,65581,7,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65581,65582,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65582,65583,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65583,65584,3,8,8,30,30,2,accumulation,accumulation,goldSack,gold,1,False,False,9b0002fd,3
65584,65585,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65585,65586,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65586,65587,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65588,65589,4,5,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65590,65591,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65591,65592,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65592,65593,6,5,0,3,1,6,attack,coin,spins,gold,1,False,False,9b0002fd,3
65593,65594,6,4,1,1,4,6,coin,steal,spins,gold,1,False,False,9b0002fd,3
65595,65596,7,8,8,30,30,2,accumulation,accumulation,goldSack,gold,1,False,False,9b0002fd,3
65597,65598,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65600,65601,3,8,8,30,30,2,accumulation,accumulation,goldSack,gold,1,False,False,9b0002fd,3
65602,65603,3,4,4,4,4,2,steal,steal,goldSack,gold,1,False,False,9b0002fd,3
65604,65605,4,1,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65605,65606,7,7,7,2,2,2,goldSack,goldSack,goldSack,gold,1,True,False,9b0002fd,3
65606,65607,6,4,1,1,4,6,coin,steal,spins,gold,1,False,False,9b0002fd,3
65607,65608,6,1,0,3,1,6,attack,coin,spins,gold,1,False,False,9b0002fd,3
65608,65609,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65610,65611,4,5,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65611,65612,0,8,8,30,30,3,accumulation,accumulation,attack,gold,6,False,False,9b0002fd,3
65613,65614,7,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65615,65616,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65616,65617,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65617,65618,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65618,65619,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65619,65620,2,5,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65620,65621,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65623,65624,4,1,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65625,65626,1,5,1,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65627,65628,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65630,65631,2,1,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65631,65632,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65634,65635,1,1,1,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65635,65636,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65637,65638,3,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65638,65639,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
