================================================================================
CHUNK 2: SYMBOL COUNTER SWEEPS
================================================================================

======================================== ACC (178 gaps) ========================================

--- ACC: Each sa_* counter as rate gate (threshold=130) ---
     counter    gate   caught     bet%    mb/hit    lift
           sa_acc+sa_shd    0.49   42/178    7.46%      32.1    3.16x
           sa_acc+sa_shd    0.51   29/178    4.46%      27.8    3.66x
           sa_acc+sa_shd    0.53   17/178    3.16%      33.6    3.02x
           sa_spn+sa_atk    0.25   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.27   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.29   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.31   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.33   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.35   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.37   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.39   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.41   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.43   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.45   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.47   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.49   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.51   59/178   12.55%      38.4    2.64x
           sa_spn+sa_atk    0.53   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.25   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.27   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.29   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.31   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.33   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.35   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.37   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.39   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.41   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.43   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.45   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.47   59/178   12.55%      38.4    2.64x
           sa_spn+sa_stl    0.49   58/178   12.47%      38.8    2.61x
           sa_spn+sa_stl    0.51   57/178   12.20%      38.7    2.62x
           sa_spn+sa_stl    0.53   55/178   11.75%      38.6    2.63x
           sa_spn+sa_shd    0.25   59/178   12.55%      38.4    2.64x
           sa_spn+sa_shd    0.27   59/178   12.55%      38.4    2.64x
           sa_spn+sa_shd    0.29   59/178   12.55%      38.4    2.64x
           sa_spn+sa_shd    0.31   59/178   12.55%      38.4    2.64x
           sa_spn+sa_shd    0.33   59/178   12.55%      38.4    2.64x
           sa_spn+sa_shd    0.35   58/178   12.53%      39.0    2.60x
           sa_spn+sa_shd    0.37   57/178   12.34%      39.1    2.59x
           sa_spn+sa_shd    0.39   56/178   11.73%      37.8    2.68x
           sa_spn+sa_shd    0.41   53/178   11.00%      37.5    2.71x
           sa_spn+sa_shd    0.43   45/178   10.25%      41.2    2.47x
           sa_spn+sa_shd    0.45   37/178    8.75%      42.7    2.37x
           sa_spn+sa_shd    0.47   27/178    7.24%      48.4    2.09x
           sa_spn+sa_shd    0.49   12/178    4.62%      69.6    1.46x
           sa_spn+sa_shd    0.51    6/178    2.51%      75.5    1.34x
           sa_atk+sa_stl    0.25   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.27   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.29   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.31   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.33   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.35   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.37   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.39   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.41   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.43   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.45   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.47   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.49   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.51   59/178   12.55%      38.4    2.64x
           sa_atk+sa_stl    0.53   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.25   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.27   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.29   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.31   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.33   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.35   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.37   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.39   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.41   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.43   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.45   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.47   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.49   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.51   59/178   12.55%      38.4    2.64x
           sa_atk+sa_shd    0.53   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.25   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.27   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.29   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.31   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.33   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.35   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.37   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.39   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.41   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.43   59/178   12.55%      38.4    2.64x
           sa_stl+sa_shd    0.45   58/178   12.46%      38.8    2.61x
           sa_stl+sa_shd    0.47   58/178   12.30%      38.3    2.65x
           sa_stl+sa_shd    0.49   54/178   11.77%      39.4    2.58x
           sa_stl+sa_shd    0.51   48/178   10.75%      40.4    2.51x
           sa_stl+sa_shd    0.53   35/178    9.44%      48.7    2.08x

--- ACC: Inverse gate (BET when counter is LOW, threshold=130) ---
     counter  max_rate   caught     bet%    mb/hit    lift
      sa_spn  <= 0.21    6/178    1.07%      32.3    3.14x
      sa_spn  <= 0.23    9/178    2.97%      59.6    1.70x
      sa_spn  <= 0.25   27/178    5.49%      36.7    2.76x
      sa_spn  <= 0.27   42/178    8.54%      36.7    2.76x
      sa_spn  <= 0.29   53/178   11.13%      37.9    2.67x
      sa_shd  <= 0.17    7/178    1.16%      29.9    3.40x
      sa_shd  <= 0.19   19/178    2.75%      26.2    3.88x
      sa_shd  <= 0.21   30/178    4.74%      28.5    3.56x
      sa_shd  <= 0.23   47/178    8.22%      31.6    3.21x
      sa_shd  <= 0.25   53/178    9.83%      33.5    3.03x
      sa_shd  <= 0.27   56/178   11.14%      35.9    2.82x
      sa_shd  <= 0.29   59/178   11.98%      36.7    2.77x

--- ACC: Cross-counter ratio gate (threshold=130) ---
                   ratio    gate   caught     bet%    mb/hit    lift
           sa_acc/sa_spn    0.30   59/178   12.55%      38.4    2.64x
           sa_acc/sa_spn    0.40   59/178   12.55%      38.4    2.64x
           sa_acc/sa_spn    0.50   59/178   12.55%      38.4    2.64x
           sa_acc/sa_spn    0.60   59/178   12.55%      38.4    2.64x
           sa_acc/sa_spn    0.70   59/178   12.52%      38.3    2.65x
           sa_acc/sa_spn    0.80   59/178   12.01%      36.8    2.76x
           sa_acc/sa_spn    0.90   58/178   11.07%      34.5    2.94x
           sa_acc/sa_spn    1.00   50/178    9.22%      33.3    3.05x
           sa_acc/sa_spn    1.10   42/178    6.33%      27.2    3.73x
           sa_acc/sa_spn    1.20   26/178    4.12%      28.7    3.54x
           sa_acc/sa_spn    1.30   16/178    2.60%      29.3    3.46x
           sa_acc/sa_spn    1.40   11/178    1.50%      24.6    4.12x
           sa_acc/sa_atk    0.30   59/178   12.55%      38.4    2.64x
           sa_acc/sa_atk    0.40   59/178   12.46%      38.1    2.66x
           sa_acc/sa_atk    0.50   51/178    9.62%      34.1    2.98x
           sa_acc/sa_atk    0.60   28/178    4.21%      27.1    3.74x
           sa_acc/sa_atk    0.70    8/178    0.84%      18.9    5.38x
           sa_acc/sa_stl    0.30   59/178   12.55%      38.4    2.64x
           sa_acc/sa_stl    0.40   59/178   12.55%      38.4    2.64x
           sa_acc/sa_stl    0.50   59/178   12.55%      38.4    2.64x
           sa_acc/sa_stl    0.60   59/178   12.47%      38.2    2.66x
           sa_acc/sa_stl    0.70   57/178   11.07%      35.1    2.89x
           sa_acc/sa_stl    0.80   47/178    6.91%      26.6    3.82x
           sa_acc/sa_stl    0.90   30/178    3.07%      18.5    5.48x
           sa_acc/sa_stl    1.00   11/178    0.99%      16.3    6.24x
           sa_acc/sa_shd    0.30   59/178   12.55%      38.4    2.64x
           sa_acc/sa_shd    0.40   59/178   12.55%      38.4    2.64x
           sa_acc/sa_shd    0.50   59/178   12.55%      38.4    2.64x
           sa_acc/sa_shd    0.60   59/178   12.55%      38.4    2.64x
           sa_acc/sa_shd    0.70   59/178   12.55%      38.4    2.64x
           sa_acc/sa_shd    0.80   59/178   12.54%      38.4    2.64x
           sa_acc/sa_shd    0.90   59/178   12.16%      37.2    2.73x
           sa_acc/sa_shd    1.00   56/178   11.18%      36.1    2.81x
           sa_acc/sa_shd    1.10   53/178    9.67%      33.0    3.08x
           sa_acc/sa_shd    1.20   53/178    7.88%      26.8    3.78x
           sa_acc/sa_shd    1.30   45/178    5.68%      22.8    4.45x
           sa_acc/sa_shd    1.40   34/178    4.03%      21.4    4.74x
           sa_acc/sa_shd    1.50   23/178    3.13%      24.6    4.12x
           sa_acc/sa_shd    1.60   18/178    2.33%      23.4    4.34x
           sa_acc/sa_shd    1.70   13/178    1.48%      20.6    4.92x
           sa_acc/sa_shd    1.80   10/178    0.94%      16.9    6.00x
           sa_acc/sa_shd    1.90    6/178    0.35%      10.7    9.51x
           sa_spn/sa_acc    0.30   59/178   12.55%      38.4    2.64x
           sa_spn/sa_acc    0.40   59/178   12.52%      38.3    2.65x
           sa_spn/sa_acc    0.50   57/178   12.35%      39.1    2.59x
           sa_spn/sa_acc    0.60   55/178   12.13%      39.8    2.55x
           sa_spn/sa_acc    0.70   50/178   11.39%      41.2    2.47x
           sa_spn/sa_acc    0.80   40/178    9.55%      43.1    2.35x
           sa_spn/sa_acc    0.90   17/178    6.61%      70.2    1.44x
           sa_spn/sa_acc    1.00   11/178    4.05%      66.5    1.53x
           sa_spn/sa_atk    0.30   58/178   12.40%      38.6    2.63x
           sa_spn/sa_atk    0.40   51/178   11.04%      39.1    2.60x
           sa_spn/sa_atk    0.50   30/178    6.98%      42.0    2.42x
           sa_spn/sa_atk    0.60    7/178    1.42%      36.6    2.77x
           sa_spn/sa_stl    0.30   59/178   12.55%      38.4    2.64x
           sa_spn/sa_stl    0.40   59/178   12.42%      38.0    2.67x
           sa_spn/sa_stl    0.50   58/178   12.39%      38.6    2.63x
           sa_spn/sa_stl    0.60   55/178   11.13%      36.5    2.78x
           sa_spn/sa_stl    0.70   43/178    7.96%      33.4    3.04x
           sa_spn/sa_stl    0.80   21/178    4.46%      38.4    2.64x
           sa_spn/sa_shd    0.30   59/178   12.55%      38.4    2.64x
           sa_spn/sa_shd    0.40   59/178   12.55%      38.4    2.64x
           sa_spn/sa_shd    0.50   59/178   12.55%      38.4    2.64x
           sa_spn/sa_shd    0.60   59/178   12.47%      38.2    2.66x
           sa_spn/sa_shd    0.70   58/178   12.40%      38.6    2.63x
           sa_spn/sa_shd    0.80   58/178   12.21%      38.0    2.67x
