GAP_COMPARISON: +/- 20 vs +/- 30 WINDOW
Format: [Gap #] | Result_20 | Bets_20 | Result_30 | Bets_30
[acc] Gap #028 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #029 | FAIL  |  46 MB | FAIL  |  46 MB
[acc] Gap #030 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #031 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #032 | FAIL  |  13 MB | FAIL  |  13 MB
[acc] Gap #033 | FAIL  |  13 MB | FAIL  |  13 MB
[acc] Gap #034 | CATCH |   4 MB | FAIL  |   9 MB
[acc] Gap #035 | FAIL  |  65 MB | FAIL  |  65 MB
[acc] Gap #036 | FAIL  |  34 MB | FAIL  |  34 MB
[acc] Gap #037 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #038 | FAIL  |  54 MB | FAIL  |  67 MB
[acc] Gap #039 | FAIL  |  18 MB | FAIL  |  18 MB
[acc] Gap #040 | FAIL  |  24 MB | FAIL  |  24 MB
[acc] Gap #041 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #042 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #043 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #044 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #045 | CATCH |   3 MB | CATCH |   3 MB
[spi] Gap #004 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #005 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #006 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #007 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #008 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #009 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #010 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #011 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #012 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #013 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #014 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #015 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #016 | FAIL  |   0 MB | FAIL  |  10 MB
[spi] Gap #017 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #018 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #019 | FAIL  |   0 MB | FAIL  |  12 MB
[spi] Gap #020 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #021 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #022 | CATCH |  12 MB | CATCH |  12 MB
[spi] Gap #023 | FAIL  |  13 MB | FAIL  |  13 MB
