================================================================================
CHUNK 3: S/M/L MEGA SWEEP
================================================================================
ACC gaps with known prev: 175 / 178
Baseline (130/0.30) on gaps-with-prev: caught= 31/175  bet= 2.96%  mb/hit=  17.1  lift= 5.99x

--- Part A: Flat configs on gaps-with-prev (for fair comparison) ---
              config   caught     bet%    mb/hit    lift
       flat_150/0.32    7/175    0.26%       6.7   15.24x
       flat_130/0.32   14/175    0.85%      10.9    9.36x
       flat_140/0.32    8/175    0.51%      11.5    8.90x
       flat_120/0.32   16/175    1.26%      14.1    7.25x
       flat_130/0.34    5/175    0.40%      14.4    7.11x
       flat_120/0.34    6/175    0.52%      15.5    6.60x
       flat_110/0.34    9/175    0.78%      15.6    6.58x
       flat_110/0.32   20/175    1.80%      16.1    6.36x
       flat_150/0.30   18/175    1.69%      16.8    6.08x
       flat_130/0.30   31/175    2.96%      17.1    5.99x
       flat_100/0.34   12/175    1.16%      17.3    5.90x
       flat_140/0.30   20/175    2.19%      19.6    5.21x
       flat_100/0.32   24/175    2.66%      19.8    5.16x
       flat_120/0.30   37/175    4.14%      20.1    5.10x
       flat_180/0.30    7/175    0.87%      22.3    4.59x
       flat_110/0.30   43/175    5.48%      22.8    4.48x
       flat_160/0.30   10/175    1.28%      22.9    4.47x
       flat_170/0.30    8/175    1.03%      23.0    4.45x
        flat_90/0.34   12/175    1.55%      23.1    4.43x
       flat_130/0.28   47/175    6.25%      23.8    4.30x

--- Part B: S/M/L sweep (boundaries x thresholds x gate) ---
Total configs evaluated: 341,220
Configs with >= 5 catches: 322,544

--- Top 80 by lift ---
  S<  L>=    t_S    t_M    t_L  gate   caught     bet%    mb/hit    lift
  50  130    120    120     40  0.30   59/175    8.20%      24.9    4.11x
  50  130    100    130     40  0.30   60/175    8.24%      24.6    4.16x
 100  130    120    110     40  0.30   61/175    8.40%      24.7    4.15x
  80  130    120    110     40  0.30   62/175    8.72%      25.2    4.06x
  50  130    100    120     40  0.30   63/175    8.91%      25.3    4.04x
  50  130     80    130     40  0.30   64/175    9.05%      25.3    4.04x
  80  130    100    120     40  0.30   65/175    9.53%      26.3    3.90x
  50  130    100    110     40  0.30   66/175    9.73%      26.4    3.88x
  50  130     80    120     40  0.30   67/175    9.72%      26.0    3.94x
  80  130    100    110     40  0.30   68/175   10.05%      26.5    3.87x
  50  120     80    130     40  0.30   69/175   10.69%      27.8    3.69x
  50  130     80    110     40  0.30   70/175   10.54%      27.0    3.79x
  50  120     80    120     40  0.30   71/175   11.18%      28.2    3.63x
  80  120    100    110     40  0.30   72/175   11.34%      28.2    3.63x
  50  130     80    100     40  0.30   73/175   11.51%      28.2    3.62x
  50  120     80    110     40  0.30   74/175   11.83%      28.6    3.57x
  80  150    100    130     40  0.28   75/175   12.53%      29.9    3.42x
  50  110     80    110     40  0.30   76/175   12.61%      29.7    3.44x
  50  120     80    100     40  0.30   77/175   12.64%      29.4    3.48x
  50  110     80    100     40  0.30   78/175   13.28%      30.5    3.36x
  90  120     80    100     40  0.30   79/175   13.78%      31.2    3.28x
  70  130    110    130     40  0.28   80/175   14.21%      31.8    3.22x
  50  130    100    130     40  0.28   81/175   14.38%      31.8    3.22x
  90  130    120    110     40  0.28   82/175   14.67%      32.0    3.19x
  80  130    120    110     40  0.28   83/175   14.99%      32.3    3.16x
  60  130    120    110     40  0.28   84/175   15.21%      32.4    3.16x
  50  130    100    120     40  0.28   85/175   15.57%      32.8    3.12x
  80  130    100    130     40  0.28   86/175   15.88%      33.1    3.09x
  50  130    110    110     40  0.28   87/175   16.18%      33.3    3.07x
  80  120    120    110     40  0.28   88/175   16.50%      33.6    3.05x
  60  120    120    110     40  0.28   89/175   16.72%      33.6    3.04x
  50  130    100    110     40  0.28   90/175   16.95%      33.7    3.03x
  70  130    100    110     40  0.28   91/175   17.37%      34.2    2.99x
  80  130    100    110     40  0.28   92/175   17.58%      34.2    2.99x
 100  120    110    100     40  0.28   93/175   18.04%      34.7    2.95x
  70  120    110    100     40  0.28   94/175   18.68%      35.6    2.87x
  50  120    100    110     40  0.28   95/175   18.46%      34.8    2.94x
  70  120    100    110     40  0.28   96/175   18.88%      35.2    2.91x
  80  120    100    110     40  0.28   97/175   19.09%      35.2    2.90x
  50  120    100    100     40  0.28   98/175   19.88%      36.3    2.82x
  50  120     80    110     40  0.28   99/175   20.30%      36.7    2.79x
  70  120     80    110     40  0.28  100/175   21.41%      38.4    2.67x
  50  110     80    110     40  0.28  101/175   21.54%      38.2    2.68x
  50  120     80    100     40  0.28  102/175   21.72%      38.1    2.68x
  50  110     80    100     40  0.28  103/175   22.74%      39.5    2.59x
  90  120    120    110     40  0.26  104/175   23.17%      39.9    2.57x
 100  120    120    100     40  0.26  105/175   23.53%      40.1    2.55x
  60  120    120    110     40  0.26  106/175   23.81%      40.2    2.54x
  50  120    100    120     40  0.26  107/175   24.39%      40.8    2.51x
  70  120    120    100     40  0.26  108/175   25.08%      41.6    2.46x
  50  120    110    110     40  0.26  109/175   25.04%      41.1    2.49x
  60  120    120    100     40  0.26  110/175   25.32%      41.2    2.48x
 100  120    110    100     40  0.26  111/175   25.56%      41.2    2.48x
  50  120    100    110     40  0.26  112/175   26.03%      41.6    2.46x
  60  120    110    100     40  0.26  113/175   26.55%      42.1    2.43x
  80  120    100    110     40  0.26  114/175   26.81%      42.1    2.43x
  50  110    100    110     40  0.26  115/175   27.98%      43.6    2.35x
  50  120    100    100     40  0.26  116/175   27.91%      43.1    2.37x
  50  120     80    110     40  0.26  117/175   28.48%      43.6    2.35x
  50  110    100    100     40  0.26  118/175   29.61%      44.9    2.28x
  80  120     80    110     40  0.26  119/175   30.88%      46.5    2.20x
  50  110     80    110     40  0.26  120/175   30.43%      45.4    2.25x
  50  120     80    100     40  0.26  121/175   30.36%      44.9    2.28x
  80  110     80    110     40  0.26  122/175   32.83%      48.2    2.12x
  50  110     80    100     40  0.26  123/175   32.05%      46.7    2.19x
  90  110     80    110     40  0.26  124/175   34.14%      49.3    2.08x
  90  110     80    100     40  0.26  125/175   34.56%      49.5    2.07x
  70  120     60    100     40  0.26  126/175   35.11%      49.9    2.05x
  80  120     60    100     40  0.26  127/175   36.17%      51.0    2.01x
  70  110     60    100     40  0.26  128/175   36.80%      51.5    1.99x
  80  110     60    100     40  0.26  129/175   37.86%      52.6    1.95x
  90  120     60    100     40  0.26  130/175   38.10%      52.5    1.95x
  90  110     60    110     40  0.26  131/175   39.38%      53.8    1.90x
  90  110     60    100     40  0.26  132/175   39.80%      54.0    1.90x
  80  110     40    110     40  0.26  133/175   41.53%      55.9    1.83x
  80  110     40    100     40  0.26  134/175   42.38%      56.6    1.81x
  90  120     40    100     40  0.26  135/175   43.70%      58.0    1.77x
  80  110     40     80     40  0.26  136/175   44.17%      58.2    1.76x
  90  110     40    100     40  0.26  137/175   45.39%      59.3    1.72x
 100  110     40    100     40  0.26  138/175   46.35%      60.1    1.70x
