acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Ahmed,1,213,193,83490,91,1500,3,56@15 43@50 55@400 39@1500
Ahmed,1,214,121,12770,74,400,2,68@15 27@50 26@400
Ahmed,1,215,149,34270,77,1500,3,48@15 51@50 40@400 10@1500
Ahmed,1,216,123,12905,66,400,2,57@15 41@50 25@400
Ahmed,1,217,94,2950,41,50,1,50@15 44@50
Ahmed,1,218,142,22535,72,400,2,39@15 55@50 48@400
Ahmed,1,219,53,1110,30,50,1,44@15 9@50
Ahmed,1,220,163,53210,84,1500,3,34@15 66@50 41@400 22@1500
Ahmed,1,221,97,2715,45,50,1,61@15 36@50
Ahmed,1,222,46,725,25,50,1,45@15 1@50
Ahmed,1,223,181,68895,88,1500,3,63@15 35@50 53@400 30@1500
Ahmed,1,224,16,240,12,15,0,16@15
Ahmed,1,225,101,3335,42,50,1,49@15 52@50
Ahmed,1,226,101,8550,60,400,2,40@15 47@50 14@400
Ahmed,1,227,153,25430,73,400,2,42@15 56@50 55@400
Ahmed,1,228,69,2225,40,50,1,35@15 34@50
Ahmed,1,229,69,1280,29,50,1,62@15 7@50
Ahmed,1,230,162,31555,77,1500,3,47@15 59@50 51@400 5@1500
Ahmed,1,231,44,975,27,50,1,35@15 9@50
Ahmed,1,232,118,7965,60,400,2,61@15 45@50 12@400
Ahmed,1,233,149,30180,77,1500,3,42@15 63@50 36@400 8@1500
Ahmed,1,234,110,6130,52,400,2,62@15 40@50 8@400
Ahmed,1,235,84,1960,39,50,1,64@15 20@50
Ahmed,1,236,40,600,22,15,0,40@15
Ahmed,1,237,158,44960,82,1500,3,44@15 54@50 44@400 16@1500
Ahmed,1,238,52,780,22,15,0,52@15
Ahmed,1,239,114,8850,59,400,2,50@15 50@50 14@400
Ahmed,1,240,86,2480,39,50,1,52@15 34@50
Ahmed,1,241,99,7015,54,400,2,41@15 48@50 10@400
Nick,0,242,85,2745,51,400,2,53@15 31@50 1@400
Nick,0,243,197,316620,117,6000,4,48@15 50@50 26@400 30@1500 43@6000
Nick,0,244,219,59275,87,1500,3,65@15 66@50 70@400 18@1500
Nick,0,245,136,14360,66,400,2,54@15 55@50 27@400
Nick,0,246,116,7025,60,400,2,65@15 41@50 10@400
Nick,0,247,139,15770,69,400,2,58@15 50@50 31@400
Nick,0,248,19,285,5,15,0,19@15
Nick,0,249,110,9455,65,400,2,47@15 47@50 16@400
Nick,0,250,163,42000,80,1500,3,60@15 38@50 53@400 12@1500
Nick,0,251,19,285,10,15,0,19@15
Nick,0,252,250,425055,132,6000,4,67@15 39@50 54@400 31@1500 59@6000
Nick,0,253,154,32380,75,1500,3,52@15 42@50 55@400 5@1500
Nick,0,254,18,270,10,15,0,18@15
Nick,0,255,40,600,20,15,0,40@15
Nick,0,256,340,1054190,179,6000,4,36@15 65@50 46@400 28@1500 165@6000
Nick,0,257,90,2925,46,50,1,45@15 45@50
Nick,0,258,159,42990,80,1500,3,46@15 46@50 55@400 12@1500
Nick,1,259,103,7845,55,400,2,43@15 48@50 12@400
Nick,1,260,76,2470,35,50,1,38@15 38@50
Nick,1,261,122,13275,63,400,2,45@15 52@50 25@400
Nick,1,262,149,27235,77,1500,3,49@15 48@50 49@400 3@1500
Nick,1,263,64,1450,27,50,1,50@15 14@50
Nick,1,264,74,2300,34,50,1,40@15 34@50
